Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
04/04/2021,7°C,22°C,28 Km/h,48 Km/h,0mm,,"1021,1mb",,eventos climáticos não informados
05/04/2021,12°C,19°C,,,0mm,,"1018,0mb",,eventos climáticos não informados
06/04/2021,13°C,17°C,9 Km/h,,0mm,,"1015,4mb",,eventos climáticos não informados
07/04/2021,14°C,19°C,9 Km/h,,0mm,,"1015,0mb",,eventos climáticos não informados
08/04/2021,16°C,20°C,13 Km/h,,0mm,,"1015,5mb",,eventos climáticos não informados
09/04/2021,13°C,16°C,,,0mm,,"1018,2mb",,Chuva
10/04/2021,13°C,15°C,,,0mm,,"1017,8mb",,eventos climáticos não informados
11/04/2021,16°C,18°C,11 Km/h,,"0,7mm",,"1005,2mb",,Chuva
12/04/2021,16°C,21°C,21 Km/h,,"2,7mm",,"1000,8mb",,eventos climáticos não informados
13/04/2021,11°C,12°C,,,2mm,,"1014,3mb",,Chuva
14/04/2021,12°C,15°C,13 Km/h,,0mm,,"1019,4mb",,eventos climáticos não informados
15/04/2021,13°C,14°C,,,"7,6mm",,"1011,9mb",,Chuva
16/04/2021,8°C,12°C,32 Km/h,50 Km/h,0mm,,"1009,7mb",,eventos climáticos não informados
17/04/2021,8°C,12°C,24 Km/h,42 Km/h,0mm,,"1010,2mb",,eventos climáticos não informados
18/04/2021,9°C,13°C,13 Km/h,,0mm,,"1011,7mb",,eventos climáticos não informados
19/04/2021,8°C,20°C,,,0mm,,"1011,8mb",,Chuva
20/04/2021,10°C,13°C,11 Km/h,,"0,2mm",,"1013,7mb",,eventos climáticos não informados
21/04/2021,16°C,19°C,24 Km/h,39 Km/h,0mm,,"1009,9mb",,eventos climáticos não informados
22/04/2021,3°C,7°C,26 Km/h,54 Km/h,0mm,,"1014,7mb",,eventos climáticos não informados
23/04/2021,2°C,17°C,24 Km/h,48 Km/h,0mm,,"1019,8mb",,eventos climáticos não informados
24/04/2021,3°C,18°C,16 Km/h,,0mm,,"1018,1mb",,eventos climáticos não informados
25/04/2021,11°C,19°C,37 Km/h,50 Km/h,"21,8mm",,"1009,5mb",,Chuva
26/04/2021,8°C,21°C,28 Km/h,42 Km/h,0mm,,"1017,8mb",,eventos climáticos não informados
27/04/2021,11°C,29°C,32 Km/h,41 Km/h,0mm,,"1017,7mb",,eventos climáticos não informados
28/04/2021,18°C,31°C,24 Km/h,39 Km/h,0mm,,"1012,6mb",,eventos climáticos não informados
29/04/2021,21°C,24°C,15 Km/h,,0mm,,"1010,2mb",,eventos climáticos não informados
30/04/2021,19°C,27°C,46 Km/h,65 Km/h,"0,2mm",,"1001,7mb",,Chuva
01/05/2021,8°C,23°C,42 Km/h,68 Km/h,0mm,,"1015,3mb",,eventos climáticos não informados
02/05/2021,8°C,28°C,32 Km/h,46 Km/h,0mm,,"1011,5mb",,eventos climáticos não informados
03/05/2021,19°C,22°C,16 Km/h,,0mm,,"1009,4mb",,eventos climáticos não informados
04/05/2021,20°C,22°C,26 Km/h,37 Km/h,"1,5mm",,"1005,5mb",,Chuva
05/05/2021,18°C,19°C,13 Km/h,,"12,1mm",,"1006,5mb",,eventos climáticos não informados
